rank by tickets sold, total tickets sold, amphitheater name, city, state, total gross

1, 578485, Pine Knob Music Theatre, Clarkston, MI, $36936786.50
2, 264965, Hollywood Bowl, Los Angeles, CA, $31190826.00
3, 394514, Merriweather Post Pavilion, Columbia, MD, $29523116.50
4, 476018, The Cynthia Woods Mitchell Pavilion, The Woodlands, TX, $28458578.70
5, 258281, Waldbühne Berlin, Berlin, GERMANY, $20818550.30
6, 295584, Red Rocks Amphitheatre, Morrison, CO, $18950375.30
7, 235260, Gorge Amphitheatre, George, WA, $18874052.40
8, 270456, Greek Theatre At UC Berkeley, Berkeley, CA, $18564016.60
9, 308776, Ruoff Music Center, Noblesville, IN,  $17463963.50
10, 220429, Xfinity Center, Mansfield, MA, $15943330.50
11, 225990, Greek Theatre, Los Angeles, CA, $15624145.40
12, 269899, Budweiser Stage, Toronto, CANADA, $14979016.70
13, 216854, Shoreline Amphitheatre, Mountain View, CA, $14599929.20
14, 196616, Jiffy Lube Live, Bristow, VA, $14143836.00
15, 228880, Freedom Mortgage Pavilion, Camden, NJ, $12969082.10
16, 199465, RCF Arena, Reggio Emilia, ITALY, $12748524.60
17, 122005, Lake Tahoe Outdoor Arena At Harveys, Stateline, NV, $12711246.70
18, 201211, The St. Augustine Amphitheatre, Saint Augustine, FL, $12677635.80
19, 143062, Northwell Health At Jones Beach Theater, Wantagh, NY, $12169401.30
20, 190222, North Island Credit Union Amphitheatre, Chula Vista, CA, $11858714.20
21, 132972, Sidney Myer Music Bowl, Melbourne, AUSTRALIA, $11521325.20
22, 225833, USANA Amphitheatre, Salt Lake City, UT, $11340918.70
23, 176394, Coastal Credit Union Music Park At Walnut Creek, Raleigh, NC, $10803124.00
24, 149916, CMAC, Canandaigua, NY, $10027170.90
25, 184125, Riverbend Music Center, Cincinnati, OH, $9956348.50
26, 158702, PNC Bank Arts Center, Holmdel, NJ, $9921870.80
27, 169261,McMenamins Edgefield Amphitheater, Troutdale, OR, $9822154.00
28, 148608, The Pavilion At Toyota Music Factory, Irving, TX, $9335194.30
29, 88777, The Wharf Amphitheater, Orange Beach, AL, $9270065.60
30, 118775, Bethel Woods Center For The Arts, Bethel, NY, $9262239.50
31, 138332, Cellairis Amphitheatre At Lakewood, Atlanta, GA, $9261446.10
32, 144799, PNC Music Pavilion, Charlotte, NC, $9202037.20
33, 123169, Daily's Place Amphitheater, Jacksonville, FL, $9111007.90
34, 179200, Pacific Amphitheatre, Costa Mesa, CA, $9091820.00
35, 115277, Orion Amphitheater, Huntsville, AL, $9001451.20
36, 149159, Saratoga Performing Arts Center, Saratoga Springs, NY, $8982350.50
37, 177779, Blossom Music Center, Cuyahoga Falls, OH, $8914137.90
38, 144031, MidFlorida Credit Union Amphitheatre, Tampa, FL, $8752211.00
39, 102195, Bank of NH Pavilion, Gilford, NH, $8682571.00
40, 136563, iTHINK Financial Amphitheatre, West Palm Beach, FL, $8431199.00
41, 158787, Concord Pavilion, Concord, CA, $8322142.90
42, 153122, Dos Equis Pavilion, Dallas, TX, $8212375.00
43, 135358, Walmart AMP,Rogers, AR, $8056523.90
44, 108088, Alpine Valley Music Theatre, East Troy, WI, $7833904.00
45, 145286, Hollywood Casino Amphitheatre, Maryland Heights, MO, $7591914.40
46, 100756, Xfinity Theatre, Hartford, CT, $7326555.00
47, 103290, Ameris Bank Amphitheatre, Alpharetta, GA, $7077550.50
48, 131402, Hollywood Casino Amphitheatre, Tinley Park, IL, $6732333.40
49, 98458, Humphrey's Concerts By The Bay, San Diego, CA, $6647805.00
50, 122235, Ak-Chin Pavilion, Phoenix, AZ, $6627945.50
51, 125337, Whitewater Amphitheater, New Braunfels, TX, $6576845.00
52, 99684, Arena Peru,Lima, PERU, $6421522.00
53, 103859, The Pavilion at Star Lake, Burgettstown, PA, $6203594.00
54, 128847, Michigan Lottery Amphitheater At Freedom Hill, Sterling Heights, MI, $6203253.00
55, 84948, RV Inn Style Resorts Amphitheater, Ridgefield, WA, $6029146.00
56, 91788, Fiddlerâ€™s Green Amphitheatre, Englewood, CO, $5711505.00
57, 88431, FivePoint Amphitheatre, Irvine, CA, $5651188.10
58, 79831, Mann Center For Performing Arts, Philadelphia, PA, $5104154.20
59, 83349, American Family Insurance Amphitheater, Milwaukee, WI, $5009792.70
60, 76875, Vina Robles Amphitheatre, Paso Robles, CA, $5006205.20
61, 65994, Huntington Bank Pavilion @ Northerly Island, Chicago, IL, $4913277.00
62, 89017, Thompson's Point, Portland, ME, $4735270.30
63, 80858, Isleta Amphitheater, Albuquerque, NM, $4629765.70
64, 80514, Veterans United Home Loans Amphitheater At Virginia Beach, Virginia Beach, VA, $4568995.80
65, 58252, Toyota Amphitheatre, Wheatland, CA, $4508392.50
66, 92045, KettleHouse Amphitheater, Bonner, MT, $4206268.00
67, 78626, St. Joseph's Health Amphitheater at Lakeview, Syracuse, NY, $4159580.00
68, 42747, Oxbow Riverstage, Napa, CA, $4017700.00
69, 53779, Mable House Barnes Amphitheatre, Mableton, GA, $3927371.00 
70, 57824, Darien Lake Performing Arts Center, Darien Center, NY, $3482203.00
71, 45074, Brisbane Riverstage, Brisbane, AUSTRALIA, $3442407.60
72, 45583, Brandon Amphitheater, Brandon, MS, $3360024.50
73, 48741, Maine Savings Amphitheater, Bangor, ME, $3323924.00
74, 39849, Hayden Homes Amphitheater, Bend, OR, $3315443.60
75, 55361, White River Amphitheatre, Auburn, WA, $3261247.00
76, 56873, Ascend Amphitheater, Nashville, TN, $3217802.90
77, 54100, Germania Insurance Amphitheater, Austin, TX, $3172798.50
78, 49915, Ford Idaho Center Amphitheater, Nampa, ID, $3120449.30
79, 59806, Harrahâ€™s Council Bluffs â€“ Stir Concert Cove, Council Bluffs, IA, $3092462.00
80, 44303, Leader Bank Pavilion, Boston, MA, $2855585.50
81, 43612, Kindl-Buehne Wuhlheide, Berlin, GERMANY, $2840943.60
82, 55000, Sturgis Buffalo Chip, Sturgis, SD, $2695000.00
83, 49922, Meadow Brook Amphitheatre, Rochester, MI, $2678208.00
84, 51987, Outlaw Field @ The Idaho Botanical Garden, Boise, ID, $2599194.50
85, 43813, Ozarks Amphitheater, Camdenton, MO, $2588198.40
86, 50413, Azura Amphitheater, Bonner Springs, KS, $2519277.00
87, 38574, Koka Booth Amphitheatre, Cary, NC, $2491630.10
88, 35219, Starlight Theatre, Kansas City, MO, $2362571.00
89, 50899, Fraze Pavilion For The Perf. Arts, Kettering, OH, $2323059.00
90, 36646, Cal Coast Credit Union Open Air Theatre, San Diego, CA, $2229703.00
91, 42974, Jardines De México, Jojutla, MEXICO, $2189253.40
92, 38503, Filene Center At Wolf Trap, Vienna, VA, $2178542.90
93, 90742, Auditorio Guelaguetza, Oaxaca, MEXICO, $2035457.70
94, 39527, Mesa Amphitheatre, Mesa, AZ, $1998998.50
95, 36723, Kalkberg Stadium, Bad Segeberg, GERMANY, $1825139.70
96, 56804, Artpark Amphitheater, Lewiston, NY, $1824689.00
97, 26131, Moody Amphitheater At Waterloo Park, Austin, TX, $1818658.50
98, 32120, Parque Viva, Guácima, COSTA RICA, $1785921.80 
99, 39003, Cuthbert Amphitheater, Eugene, OR, $1767279.00
100, 26764, Santa Barbara Bowl, Santa Barbara, CA, $1739959.20
