rank by tickets sold, tickets sold, amphitheater name, city, state, total gross
7, 418857, Hollywood Bowl, Los Angeles, CA, $36474083.50
2, 514995, Red Rocks Amphitheatre, Morrison, CO, $27177025.20
13, 352873, Waldbühne Berlin, Berlin, GERMANY, $24090213.20
11, 392569, Northwell Health At Jones Beach, Wantagh, NY, $20817538.50
16, 323644, Merriweather Post Pavilion, Columbia, MD, $19650573.50
1, 565928, BB&T Pavilion, Camden, NJ, $19057620.50
5, 421204, Hollywood Casino Amphitheatre, Tinley Park, IL, $18697031.00
15, 344632, Filene Center At Wolf Trap, Vienna, VA, $18682277.60
4, 428146, DTE Energy Music Theatre, Clarkston, MI, $18186499.60
27, 268979, Gorge Amphitheatre, George, WA, $17258196.00
3, 512186, Ruoff Home Mortgage Music Center, Noblesville, IN, $16945617.60
32, 254104, Greek Theatre At UC Berkeley, Berkeley, CA, $15838406.30
9, 393489, PNC Bank Arts Center, Holmdel, NJ, $15042872.00
12, 358852, Jiffy Lube Live, Bristow, VA, $14679323.20
10, 392878, Cynthia Woods Mitchell Pavilion, The Woodlands, TX, $14599772.50
6, 420617, Shoreline Amphitheatre, Mountain View, CA, $14287174.00
34, 230622, Greek Theatre, Los Angeles, CA, $14186760.70
33, 238337, Glen Helen Amphitheater, San Bernardino, CA, $14139035.60
19, 297543, Huntington Pavilion @ Northerly Island, Chicago, IL, $14118482.10
20, 295954, Xfinity Center, Mansfield, MA, $13664363.00
14, 348595, Blossom Music Center, Cuyahoga Falls, OH, $13398492.00
8, 400409, Hollywood Casino Amphitheatre, Maryland Heights, MO, $12787930.00
22, 279791, Saratoga Performing Arts Center, Saratoga Springs, NY, $11196383.40
25, 272283, MidFlorida Credit Union Amphitheatre, Tampa, FL, $11122204.00
17, 307470, PNC Music Pavilion, Charlotte, NC, $11001696.00
23, 277322, Coral Sky Amphitheatre, West Palm Beach, FL, $10454008.50
26, 269207, Mattress Firm Amphitheatre, Chula Vista, CA, $10406567.00
44, 175444, Bank of NH Pavilion, Gilford, NH, $10333184.80
18, 299080, Usana Amphitheatre, Salt Lake City, UT, $10323125.70
21, 293967, Xfinity Theatre, Hartford, CT, $10047698.00
24, 276462, KeyBank Pavilion, Burgettstown, PA, $9791495.70
39, 193923, Blue Hills Bank Pavilion, Boston, MA, $9655990.00
30, 264522, Starplex Pavilion, Dallas, TX, $9464340.40
37, 198000, Verizon Amphitheatre - Alpharetta, Alpharetta, GA, $9089475.00
41, 186512, Budweiser Stage, Toronto, CANADA, $9051938.20
28, 266238, Darien Lake Performing Arts Center, Darien Center, NY, $8886881.00
29, 264583, Coastal Credit Union At Walnut Creek, Raleigh, NC, $8739394.50
31, 257859, Veterans United Amph. At Virginia Beach, Virginia Beach, VA, $8471081.30
38, 194728, Pacific Amphitheatre, Costa Mesa, CA, $8340286.80
50, 125179, American Family Insurance Amph., Milwaukee, WI, $8065504.00
35, 221234, Ak-Chin Pavilion, Phoenix, AZ, $8002249.50
42, 183665, Austin360 Amphitheater, Austin, TX, $7985799.30
36, 209264, Cellairis Amphitheatre At Lakewood, Atlanta, GA, $7607167.70
43, 177501, Bethel Woods Center For The Arts, Bethel, NY, $7441016.40
40, 192179, Riverbend Music Center, Cincinnati, OH, $7111160.00
54, 120194, Chastain Park Amphitheatre, Atlanta, GA, $7105192.60
59, 108927, Chateau Ste. Michelle Winery, Woodinville, WA, $6832939.40
61, 108187, Daily's Place Amphitheater, Jacksonville, FL, $6703290.70
47, 153149, Ascend Amphitheater, Nashville, TN, $6634663.40
55, 119677 ,Constellation - Marvin Sands PAC ,Canandaigua, NY ,$6375518.30
57, 109906, The Wharf Amphitheater, Orange Beach, AL, $6345738.80
49, 132044, Pavilion At Montage Mountain, Moosic, PA, $5978609.00
45, 169238, Isleta Amphitheater, Albuquerque, NM, $5813341.30
62, 100051, St. Augustine Amphitheatre, Saint Augustine, FL, $5696557.50
48, 135698, Concord Pavilion, Concord, CA ,$5582352.80
46, 157931, Lakeview Amphitheater, Syracuse, NY, $5418050.70
52, 120681, Fiddlerâ€™s Green Amphitheatre, Englewood, CO, $5386444.20
85, 52849, Harrahâ€™s Council Bluffs â€“ Stir Concert Cove, Council Bluffs, IA, $5243785.00
64, 91592, Starlight Theatre, Kansas City, MO, $4932129.00
68, 82673, Darling's Waterfront Pavilion, Bangor, ME, $4671100.50
56, 114768, Michigan Lottery Theater At Freedom Hill, Sterling Heights, MI, $4656918.00
67, 83460, McMenamins Edgefield Amphitheater, Troutdale, OR, $4552055.80
51, 121529, Festival Pier, Philadelphia, PA, $4402220.00 
81, 57564, Humphrey's Concerts By The Bay, San Diego, CA, $4336568.50
82, 56906, Lake Tahoe Outdoor Arena At Harveys, Stateline, NV, $4301281.30
53, 120507, Toyota Amphitheatre ,Wheatland, CA ,$4254717.00 
60, 108567, Red Hat Amphitheater, Raleigh, NC, $4113005.00
63, 93952, Chene Park, Detroit, MI, $4051982.30
74, 72723, Toyota Music Factory, Irving, TX , $3976452.80
58, 109548, White River Amphitheatre, Auburn, WA, $3756157.00
86, 50915, Ironstone Amphitheatre, Murphys, CA, $3683331.50
79, 57965, Tuscaloosa Amphitheater, Tuscaloosa, AL, $3660581.80
65, 88562, Whitewater Amphitheater, New Braunfels, TX, $3620752.80
66, 88530, Meadow Brook Amphitheatre, Rochester, MI ,$3366879.50
93, 41535 ,Santa Barbara Bowl ,Santa Barbara, CA ,$3250059.00 
76, 68112, Ford Amphitheater At Coney Island, Brooklyn, NY, $3134396.50
80, 57606, Les Schwab Amphitheater, Bend, OR, $3105834.00
77, 66957, Pier Six Pavilion, Baltimore, MD ,$2970037.10 
70, 80150, Cuthbert Amphitheater, Eugene, OR, $2923333.50
87, 48047, Vina Robles Amphitheatre, Paso Robles, CA, $2800358.50
84, 53927, Wolf Creek Amphitheater, Atlanta, GA, $2785012.90
69, 81861, Charlotte Metro Credit Union Amph., Charlotte, NC, $2773466.10
97, 32957, Mann Center For Performing Arts, Philadelphia, PA, $2757150.50
92, 41703, Parque Viva, Guácima, COSTA RICA, $2747517.40
73, 74235, Walmart AMP, Rogers, AR, $2724958.30
78, 65049, Cal Coast Credit Union Open Air Theatre, San Diego, CA, $2704115.10
72, 76181, Fraze Pavilion For The Perf. Arts, Kettering, OH, $2495334.50
83, 56795, Jacobs Pavilion At Nautica, Cleveland, OH, $2411598.00
75, 71157, Sunlight Supply Amphitheater, Ridgefield, WA, $2178362.80
90, 42089, PNC Plaza At Steelstacks, Bethlehem, PA, $2139267.00
71, 78246, Farm Bureau Insurance At White River, Indianapolis, IN, $2069313.70
88, 46044, Champions Square, New Orleans, LA, $2030876.00
94, 39007, Rumsey Playfield / Central Park, New York, NY, $1961858.00
89, 45409, Oregon Zoo Amphitheatre, Portland, OR ,$1949836.00
95, 38560, Minnesota Zoo Amphitheater, Apple Valley, MN, $1934468.40
91, 42022, Oak Mountain Amphitheatre, Pelham, AL, $1829468.10
100, 30307, Marymoor Park, Redmond, WA ,$1508934.00 
98, 32751, Ford Idaho Center Amphitheater, Nampa, ID, $1202127.80
99, 32605, Bayfront Park Amphitheater, Miami, FL $1127120.60
96, 37200 ,Artpark Amphitheater, Lewiston, NY, $669737.00
