rank by tickets sold, total tickets sold, amphitheater name, city, state, total gross
91, 39958, Cadence Bank Amphitheatre At Chastain Park, Atlanta, GA, $2053997.50
92, 40789, Marenostrum, Fuengirola, Spain, $2030855.00
93, 16877, Oxbow Riverstage, Napa, CA, $1982456.50
94, 37765, Skyla Credit Union Amphitheatre, Charlotte, NC, $1963481.00
95, 27205, Gran Teatro Valle Dei Templi, Agrigento, Italy, $1894762.90
96, 54992, Artpark Amphitheater, Lewiston, NY, $1883335.50
97, 30762, McGrath Amphitheatre, Cedar Rapids, IA, $1866151.50
98, 25266, Brandon Amphitheater, Brandon, MS, $1816797.00
99, 31433, Saint Louis Music Park, Maryland Heights, MO, $1811863.00
100, 23062, Ironstone Amphitheatre, Murphys, CA, $1807610.00
