rank by tickets sold, total tickets sold, amphitheater name, city, state, total gross

2, 404744, Red Rocks Amphitheatre, Morrison, CO, $20227394.00
11, 215730, Hollywood Bowl, Los Angeles, CA, $16281193.50
1, 676012, DTE Energy Music Theatre, Clarkston, MI, $14446555.30
46, 76344, Hope Estate Winery, Pokolbin, AUSTRALIA, $13111824.00
3, 345578, Filene Center At Wolf Trap, Vienna, VA, $12552446.60
6, 249240, Greek Theatre, Los Angeles, CA, $11987199.70
5, 277099, The Cynthia Woods Mitchell Pavilion, The Woodlands, TX, $11819765.50
13, 207341, Comcast Center, Mansfield, MA, $10363748.30
4, 329979, Riverbend Music Center, Cincinnati, OH, $10310861.30
9, 217293, Time Warner Cable Music Pavilion ,Raleigh, NC, $9774611.40
15, 184301, Pavilion Stage At Bethel Woods Center For The Arts, Bethel, NY, $8286723.00
12, 210965, Susquehanna Bank Center, Camden, NJ, $8263548.20
28, 140522, Molson Canadian Amphitheatre, Toronto, CANADA, $7618156.80
31, 126729, Santa Barbara Bowl, Santa Barbara, CA, $7578051.50
7, 231679, Klipsch Music Center, Noblesville, IN, $7472066.30
16, 184011, PNC Bank Arts Center, Holmdel, NJ, $7396143.00
8, 223293, First Midwest Bank Amphitheatre, Tinley Park, IL, $7178559.50
14, 187227, Verizon Wireless Amph. At Encore Park, Alpharetta, GA, $6995906.60
24, 150305, Merriweather Post Pavilion, Columbia, MD, $6683082.00
17, 180580, Shoreline Amphitheatre, Mountain View, CA, $6430970.00
10, 216971, Verizon Wireless Amph. St. Louis, Maryland Heights, MO, $6387790.20
20, 157768, Cricket Wireless Amphitheatre, Chula Vista, CA, $6340907.90
21, 156582, Blossom Music Center, Cuyahoga Falls, OH, $6203025.00
22, 155350, Darien Lake Performing Arts Center, Darien Center, NY, $6008182.80
18, 172353, Farm Bureau Live At Virginia Beach, Virginia Beach, VA, $5807925.50
26, 147870, Jiffy Lube Live, Bristow, VA, $5769622.30
27, 143525, 1-800 Ask-Gary Amphitheatre, Tampa, FL, $5620425.20
23, 153103, Verizon Wireless Amphitheatre, Charlotte, NC, $5608216.80
