rank by tickets sold, tickets sold, amphitheater name, city, state, total gross
45, 110697, San Manuel Amphitheater, Devore, CA, $3819269.00
52, 98212, Fraze Pavilion For The Perf. Arts, Kettering, OH, $3632571.00
57, 74936, King Countyâ€™s Marymoor Park, Redmond, WA, $3570031.50
59, 72621, Amphitheater At The Wharf, Orange Beach, AL, $3381287.40
58, 73686, McMenamins Edgefield Amphitheater, Troutdale, OR, $3338098.00
55, 86239, Isleta Amphitheater, Albuquerque, NM, $3089582.40
65, 65784, Concord Pavilion, Concord, CA, $3086837.00
67, 58214, Blue Hills Bank Pavilion, Boston, MA, $2642557.00
61, 70336, Ravinia Festival At Ravinia Park, Highland Park, IL, $2614861.00
74, 44419, Darling's Waterfront Pavilion ,Bangor, ME, $2469839.90
80, 41788, The Star Pavilion At Hersheypark Stadium, Hershey, PA, $2431574.50
70, 48508, Pier Six Pavilion, Baltimore, MD, $2429191.30
60, 72279, Meadow Brook Music Festival, Rochester, MI, $2257076.00
68, 56135, Harrahâ€™s Council Bluffs â€“ Stir Concert Cove, Council Bluffs, IA, $2243932.10
82, 40070, Starlight Theatre, Kansas City, MO, $2181457.00
78, 42736, PNC Plaza At Steelstacks, Bethlehem, PA, $2162080.00
75, 44241, Prospect Park Bandshell, Brooklyn, NY, $2127743.50
85, 35782, Les Schwab Amphitheater, Bend, OR, $1983957.00
81, 40853, Sleep Country Amphitheater, Ridgefield, WA, $1857804.00
71, 46539, Tuscaloosa Amphitheater, Tuscaloosa, AL, $1809018.10
77, 43044, Freedom Hill Amphitheatre, Sterling Heights, MI ,$1739049.60
89, 29485,Denver Botanic Gardens - York St., Denver, CO, $1725963.50
69, 55439, Whitewater Amphitheatre, New Braunfels, TX, $1713869.00
73, 44537, SummerStage Central Park / Rumsey Playfield, New York, NY, $1612415.00
72, 45013, Cricket Wireless Amphitheater, Bonner Springs, KS, $1601178.00
42, 128369, Artpark Amphitheater, Lewiston, NY, $1554446.00
76, 43137, Wolf Creek Amphitheater, Atlanta, GA, $1548517.00
79, 42397, Cuthbert Amphitheater, Eugene, OR, $1502983.30
100, 18512, Mud Island Amphitheatre, Memphis, TN, $1468304.00
84, 38542, Oregon Zoo Amphitheatre, Portland, OR, $1446004.80
87, 31281 ,Minnesota Zoo Amphitheater, Apple Valley, MN, $1400951.10
83, 39378, Oklahoma City Zoo Amphitheatre, Oklahoma City, OK, $1335394.00
88, 30077, Vina Robles Amphitheatre, Paso Robles, CA, $1284418.50
93, 24976, Chastain Park Amphitheatre, Atlanta, GA, $1282203.20 
91, 28165, PNC Pavilion At Riverbend, Cincinnati, OH, $1135512.00
96, 20183, Chateau Ste. Michelle Winery, Woodinville, WA, $1124333.10
92, 25649, Champions Square, New Orleans, LA, $1103616.30
86, 35655, Woodland Park Zoo, Seattle, WA, $1067107.00
99, 18991, The Woods At Fontanel, Whites Creek, TN, $1001673.50
94, 21851, Koka Booth Amphitheatre, Cary, NC, $960890.00
90, 28568, The Walmart AMP, Rogers, AR, $955020.00
97, 19133, Charter Amphitheatre, Simpsonville, SC, $760030.00
95, 20580, Red Hat Amphitheatre, Raleigh, NC, $752390.50
98, 19005, Greenfield Lake Amphitheatre, Wilmington, NC, $627587.50
