rank by tickets sold, total tickets sold, amphitheater name, city, state, total gross

1, 738850, Red Rocks Amphitheatre, Morrison, CO, $37493598.50
4, 393793, Hollywood Bowl, Los Angeles, CA, $33409816.80
2, 465695, The Cynthia Woods Mitchell Pavilion, The Woodlands, TX, $20294084.40
3, 458671, DTE Energy Music Theatre, Clarkston, MI, $16916578.60 
22, 226580, King Countyâ€™s Marymoor Park, Redmond, WA, $16035003.90
5, 326095, BB&T Pavilion, Camden, NJ, $12772536.30 
8, 288326, Filene Center At Wolf Trap, Vienna, VA, $12521284.60
7, 292705, Jiffy Lube Live, Bristow, VA, $11910225.70
29, 191161, Bethel Woods Center For The Arts, Bethel, NY, $11036502.30
9, 288014, Riverbend Music Center, Cincinnati, OH, $10921866.30
6, 315388, Klipsch Music Center, Noblesville, IN, $10781285.50
23, 225819, Molson Canadian Amphitheatre, Toronto, CANADA, $10778575.00
25, 223039, Waldbühne Berlin, Berlin, GERMANY, $9764299.80
38, 141245, Santa Barbara Bowl, Santa Barbara, CA, $9756665.70
10, 266833, Perfect Vodka Amphitheatre, West Palm Beach, FL, $9703814.30
18, 242776, PNC Bank Arts Center, Holmdel, NJ, $9687360.50
16, 246423, Xfinity Center, Mansfield, MA, $9566471.40
12, 252919, Gexa Energy Pavilion, Dallas, TX, $9456844.40
15, 246480, MidFlorida Credit Union Amphitheatre, Tampa, FL, $9368669.60
11, 266642, First Niagara Pavilion ,Burgettstown, PA, $9079595.60
33, 163991, Greek Theatre At UC Berkeley, Berkeley, CA, $9034834.00
14, 248183, Shoreline Amphitheatre, Mountain View, CA, $8751130.30
26, 202379, Fiddlerâ€™s Green Amphitheatre, Englewood, CO ,$8668816.00
21, 228343, Farm Bureau Live At Virginia Beach, Virginia Beach, VA, $8597452.40
13, 251316, Hollywood Casino Amphitheatre, Maryland Heights, MO, $8419759.80
17, 244152, Walnut Creek Amphitheatre, Raleigh, NC, $8322796.80
20, 232017, NC Music Pavilion, Charlotte, NC, $8174756.00
32, 187309, Verizon Wireless Amph. At Encore Park, Alpharetta, GA, $8037610.60
24, 223603, Blossom Music Center, Cuyahoga Falls, OH, $8005001.10
19, 236035, Hollywood Casino Amphitheatre, Tinley Park, IL, $7916647.30
28, 191996, Aaron's Amphitheatre At Lakewood, Atlanta, GA, $7715505.80
40, 127480, Merriweather Post Pavilion, Columbia, MD, $7547096.00
27, 200279, Sleep Train Amphitheatre, Chula Vista, CA, $7258581.70
31, 189500, Darien Lake Performing Arts Center, Darien Center, NY, $7024148.10
36, 154042, Irvine Meadows Amphitheatre, Irvine, CA, $6885589.50
39, 129234, Nikon At Jones Beach Theater, Wantagh, NY, $6868003.00
30, 189613, Xfinity Theatre, Hartford, CT, $6502394.80
41, 124193, Austin360 Amphitheater, Austin, TX, $6468343.00
67, 51780, Marcus Amphitheater, Milwaukee, WI, $6122381.70
35, 154918, Saratoga Performing Arts Center, Saratoga Springs, NY, $6066762.00
34, 158894, Ak-Chin Pavilion, Phoenix, AZ ,$6023062.50 
44, 106476, Bank of NH Pavilion, Gilford, NH, $5858417.30
61, 63974, Lake Tahoe Outdoor Arena At Harveys, Stateline, NV, $5701789.50
58, 70052, Humphrey's Concerts By The Bay, San Diego, CA, $5362271.00
47, 91566, Brisbane Riverstage, Brisbane, AUSTRALIA, $5127877.80
37, 146838, Isleta Amphitheater, Albuquerque, NM, $4743056.30
46, 95679, Gorge Amphitheatre, Quincy, WA, $4683640.00
49, 90642, Mann Center For Performing Arts, Philadelphia, PA, $4665723.50
42, 122533, Usana Amphitheatre, Salt Lake City, UT, $4540873.70
56, 76347, Alpine Valley Music Theatre, East Troy, WI ,$4136560.00
52, 83647, McMenamins Edgefield Amphitheater, Troutdale, OR, $4061543.00
53, 83355, St. Augustine Amphitheatre ,Saint Augustine, FL, $3986469.70
55, 79979, Pier Six Pavilion, Baltimore, MD, $3920404.80
48, 90920, Constellation Brands - Marvin Sands PAC, Canandaigua, NY, $3723490.00
50, 89619, Whitewater Amphitheater ,New Braunfels, TX, $3605035.00
65, 56332, Sidney Myer Music Bowl, Melbourne, AUSTRALIA, $3580733.30
64, 57626, Amphitheater At The Wharf, Orange Beach, AL, $3570231.70
51, 88583, Meadow Brook Music Festival, Rochester, MI, $3450544.70
57, 70993, Chastain Park Amphitheatre, Atlanta, GA, $3421794.00
54, 82511, Wolf Creek Amphitheater, Atlanta, GA, $3411409.00
45, 98916, Fraze Pavilion For The Perf. Arts, Kettering, OH, $3380424.20
62, 60985, Les Schwab Amphitheater, Bend, OR, $3227717.00
96, 25580, Hope Estate Winery, Pokolbin, AUSTRALIA, $3039691.10
70, 48625, Starlight Theatre, Kansas City, MO, $2831971.00
68, 49423, PNC Plaza At Steelstacks, Bethlehem, PA, $2816060.30
72, 47708, Darling's Waterfront Pavilion, Bangor, ME, $2701546.80
59, 64455, Concord Pavilion, Concord, CA, $2484906.40
77, 42895, Vina Robles Amphitheatre, Paso Robles, CA, $2255686.00
60, 64229, Toyota Amphitheatre, Wheatland, CA, $2241217.50
63, 60901, Rumsey Playfield / Central Park, New York, NY, $2228871.00
73, 47474, Tuscaloosa Amphitheater, Tuscaloosa, AL, $2146166.50
80, 42248, Walmart AMP, Rogers, AR, $2050924.00
75, 43605, Greek Theatre, Los Angeles, CA, $2013716.50
74, 44279, Ascend Amphitheater, Nashville, TN, $1989385.50
66, 52717, PNC Pavilion At Riverbend ,Cincinnati, OH, $1969136.60
69, 49411, Harrahâ€™s Stir Concert Cove, Council Bluffs, IA, $1928357.00
79, 42266, BankPlus Amphitheater At Snowden Grove, Southaven, MS, $1868594.30
76, 43197, Oak Mountain Amphitheatre, Pelham, AL, $1819568.50
93, 27638, Denver Botanic Gardens - York St., Denver, CO, $1803705.00
71, 48382, Pavilion At Montage Mountain, Moosic, PA, $1650742.30
86, 35423, Cricket Wireless Amphitheater, Bonner Springs, KS, $1614563.00
83, 36747, Oregon Zoo Amphitheatre, Portland, OR, $1588347.00
82, 37560, Blue Hills Bank Pavilion, Boston, MA, $1564863.90
43, 116392, Artpark Amphitheater, Lewiston, NY, $1564329.00
78, 42639, Koka Booth Amphitheatre, Cary, NC, $1544866.80
100, 22697, Ironstone Amphitheatre, Murphys, CA, $1489519.00
89, 31528, Minnesota Zoo Amphitheater, Apple Valley, MN ,$1443198.20
81, 37679, Cuthbert Amphitheater, Eugene, OR ,$1415427.30
91, 30490, Prospect Park Bandshell, Brooklyn, NY, $1325257.50
84, 36106, White River Amphitheatre, Auburn, WA, $1282719.00
90, 31417, Ntelos Wireless Pavilion, Charlottesville, VA, $1279044.00
88, 32997, Sunlight Supply Amphitheater, Ridgefield, WA, $1232530.00
85, 35813, Ravinia Festival At Ravinia Park, Highland Park, IL, $1217220.00
87, 33277, Woodland Park Zoo, Seattle, WA, $1195733.00
94, 27447, Idaho Botanical Garden, Boise, ID, $1021344.00
92, 28358, Bayfront Park Amphitheater, Miami, FL, $960847.40
98, 24424, FirstMerit Bank Pavilion @ Northerly Island, Chicago, IL, $935159.00
95, 26529, Farm Bureau Insurance Lawn At White River State Park, Indianapolis, IN, $795210.50
