73, 81650, Meadow Brook Amphitheatre, Rochester, MI, $2948930.60
76, 76028, Whitewater Amphitheater, New Braunfels, TX, $2816999.00
82, 65403, Harrahâ€™s Council Bluffs â€“ Stir Concert Cove, Council Bluffs, IA, $2739429.50
91, 49810, Brisbane Riverstage, Brisbane, AUSTRALIA, $2705357.50 
83, 64622, Cal Coast Credit Union Open Air Theatre, San Diego, CA, $2699135.00
99, 40943, Santa Barbara Bowl, Santa Barbara, CA, $2535389.50
79, 70212, Charlotte Metro Credit Union Amphitheatre, Charlotte, NC, $2526038.80
88, 57459, Jardines De México, Jojutla, MEXICO ,$2498844.80
93, 47495, Rumsey Playfield / Central Park, New York, NY ,$2199056.30
85, 63597, Cuthbert Amphitheater,Eugene, OR, $2162896.80
97, 42356, Koussevitzky Music Shed, Lenox, MA ,$2123133.00
77, 73685, Lawn At White River State Park, Indianapolis, IN ,$2108622.00
90, 49872, Oregon Zoo Amphitheatre, Portland, OR, $2108356.20
94, 46985, Les Schwab Amphitheater, Bend, OR, $2051468.30
84, 63752, Bayfront Park Amphitheater, Miami, FL, $2050680.70
98, 41607, Champions Square, New Orleans, LA, $1957264.70
96, 44507, PNC Pavilion At Riverbend, Cincinnati, OH, $1947444.30
89, 53091, Jacobs Pavilion At Nautica, Cleveland, OH, $1872938.50
95, 46555, Oklahoma City Zoo Amphitheatre, Oklahoma City, OK, $1847621.50
92, 47777, Tuscaloosa Amphitheater, Tuscaloosa, AL, $1653698.80
100, 38000 ,Woodland Park Zoo, Seattle, WA ,$1521630.00
66, 91804, Artpark Amphitheater, Lewiston, NY, $1320917.00
