rank by tickets sold, tickets sold, amphitheater name, city, state, total gross
68, 49749, Concrete Street Amphitheater, Corpus Christi, TX, $1553585.00
84, 28585, Chateau Ste. Michelle Winery, Woodinville, WA, $1486163.50
78, 34649 ,Marymoor Amphitheatre ,Redmond, WA, $1330668.50
80, 31449, Oklahoma City Zoo Amphitheatre, Oklahoma City, OK, $1313966.50
75, 36815, Harrah's Casino - Stir Concert Cove, Council Bluffs, IA, $1310828.00
90, 21856, Mann Center For Performing Arts, Philadelphia, PA, $1281854.50
74, 37049, Waldbühne, Berlin, GERMANY, $1199318.90
70, 42307, Lawn at White River State Park, Indianapolis, IN, $1124313.30
81, 30988, Prospect Park Bandshell, Brooklyn, NY, $1108162.30
71, 42115, Woodland Park Zoo, Seattle, WA, $1040523.00
82, 29619, Westfair Amphitheatre, Council Bluffs, IA, $1003091.00
79, 34497, Uptown Amphitheatre At The Music Factory, Charlotte, NC, $938589.20
83, 29164, Pompano Beach Amphitheatre, Pompano Beach, FL, $890411.70
62, 57351, The Showgrounds @ Sam Houston Race Park, Houston, TX, $877199.30
94, 16087, Mud Island Amphitheatre, Memphis, TN, $867349.50
85, 27119, Minnesota Zoo Amphitheater, Apple Valley, MN, $861583.10
88, 23863, Cuthbert Amphitheater, Eugene, OR, $833572.00
89, 23460, Koka Booth Amphitheatre At Regency Park, Cary, NC, $830849.00
97, 14659, Harrah's Rincon Casino & Resort, Valley Center, CA, $705383.00
67, 49760, Oregon Zoo Amphitheatre, Portland, OR ,$682988.40
87, 25170, Freedom Hill Amphitheatre, Sterling Heights, MI, $652874.10
93, 16936, Les Schwab Amphitheater, Bend, OR, $605931.00
91, 20823, Stone Pony Summerstage, Asbury Park, NJ, $592664.40
96, 14660, Mesa Amphitheatre, Mesa, AZ, $525815.00
98, 13859, The Pavilion @ Concrete Street, Corpus Christi, TX, $365906.00
99, 10944, Outlaw Field At Idaho Botanical Gardens, Boise, ID, $356072.00
100, 10867, Jones Beach Bay Stage, Wantagh, NY, $207513.00
92, 18689, Snowden Grove Amphitheater, Southaven, MS, $176980.00
