rank by tickets sold, total tickets sold, amphitheater name, city, state, total gross

7, 378272, Hollywood Bowl, Los Angeles, CA, $33724568.30
2, 532507, DTE Energy Music Theatre, Clarkston, MI, $22839985.00
5, 436373, Red Rocks Amphitheatre, Morrison, CO, $22793614.70
9, 363655, Waldbühne Berlin, Berlin, GERMANY, $22290902.90
1, 588023, Ruoff Home Mortgage Music Center, Noblesville, IN, $22090207.40
3, 505287, BB&T Pavilion, Camden, NJ, $21438974.80
12, 342990, Gorge Amphitheatre, George, WA, $19265592.40
4, 467620, The Cynthia Woods Mitchell Pavilion, The Woodlands, TX, $19192910.40
10, 350005, Xfinity Center, Mansfield, MA, $18601422.70
8, 365488, Jiffy Lube Live, Bristow, VA, $17325254.40
19, 307889, Filene Center At Wolf Trap, Vienna, VA, $17092573.00
6, 397026, Shoreline Amphitheatre, Mountain View, CA, $16384440.40
31, 223086, Greek Theatre, Los Angeles, CA, $14962462.00
17, 311729, Saratoga Performing Arts Center, Saratoga Springs, NY, $14872853.00
11, 345351, Blossom Music Center, Cuyahoga Falls, OH, $14553662.00
15, 321881,  Hollywood Casino Amphitheatre, Tinley Park, IL, $13506656.20
14, 326357 ,Coastal Credit Union Music Park At Walnut Creek, Raleigh, NC, $13465741.80
22, 301400, PNC Music Pavilion, Charlotte, NC, $13288499.40
13, 331436, Dos Equis Pavilion, Dallas, TX, $13161904.00
16, 320290, Xfinity Theatre, Hartford, CT, $13091150.50
20, 305289, Riverbend Music Center, Cincinnati, OH , $12886431.60
26, 259897, Northwell Health At Jones Beach Theater, Wantagh, NY, $12762234.00
29, 236997, Budweiser Stage, Toronto, CANADA, $12303016.20
24, 282192, Coral Sky Amphitheatre, West Palm Beach, FL, $11872233.20
18, 308367, PNC Bank Arts Center, Holmdel, NJ, $11848712.40
25, 271322, North Island Credit Union Amphitheatre, Chula Vista, CA, $11552696.00
33, 221436, Toyota Music Factory, Irving, TX, $11302475.50
30, 229756, Austin360 Amphitheater, Austin, TX, $11085832.20
21, 302163, Usana Amphitheatre, Salt Lake City, UT, $10847951.00
27, 248788, MidFlorida Credit Union Amphitheatre, Tampa, FL, $10713304.00
39, 186263, Greek Theatre At UC Berkeley, Berkeley, CA, $10391407.20
28, 244953, Darien Lake Performing Arts Center, Darien Center, NY, $10220043.00
34, 220979, St. Joseph's Health Amphitheater at Lakeview, Syracuse, NY, $9900623.00
43, 167032, Bank of NH Pavilion, Gilford, NH, $9816054.30
23, 290155, Hollywood Casino Amphitheatre, Maryland Heights, MO, $9702344.00
38, 194323, FivePoint Amphitheatre, Irvine, CA, $9534690.30
37, 211938, Cellairis Amphitheatre At Lakewood, Atlanta, GA, $9201699.30
40, 183823, Pacific Amphitheatre, Costa Mesa, CA, $9043186.00
56, 101125, Lake Tahoe Outdoor Arena At Harveys, Stateline, NV, $8951174.00
35, 215265, Isleta Amphitheater, Albuquerque, NM, $8804221.50 
36, 214187, Veterans United Home Loans Amphitheater At Virginia Beach, Virginia Beach, VA, $8375610.60
41, 180379, Verizon Amphitheatre - Alpharetta, Alpharetta, GA, $8233145.20
46, 150669, St. Augustine Amphitheatre, Saint Augustine, FL, $8143407.00
32, 222421, KeyBank Pavilion, Burgettstown, PA, $7898061.00
48, 134329, Huntington Bank Pavilion @ Northerly Island, Chicago, IL, $7222825.20
44, 159847, White River Amphitheatre, Auburn, WA, $6920010.00
45, 151914, Walmart AMP, Rogers, AR, $6887450.50
51, 117830, McMenamins Edgefield Amphitheater, Troutdale, OR, $6681180.00
50, 123988, Blue Hills Bank Pavilion, Boston, MA, $6587922.80
42, 176048, Ak-Chin Pavilion, Phoenix, AZ, $6583498.80
47, 143394, Ascend Amphitheater, Nashville, TN, $6142775.60
58, 96942, American Family Insurance Amphitheater, Milwaukee, WI, $6090459.50
53, 102466, Daily's Place Amphitheater, Jacksonville, FL, $6037903.10
54, 102344, Merriweather Post Pavilion, Columbia, MD, $5938837.50
63, 91842, Sidney Myer Music Bowl, Melbourne, AUSTRALIA, $5907207.70
55, 101821, Starlight Theatre, Kansas City, MO, $5561336.20
57, 97492, State Bank Amphitheatre At Chastain Park, Atlanta, GA, $5270392.20
65, 85875, Fiddlerâ€™s Green Amphitheatre, Englewood, CO, $5226181.50
49, 130565, Concord Pavilion, Concord, CA, $5216768.10
59, 94910, Darling's Waterfront Pavilion, Bangor, ME, $5203020.00
77, 67935, Humphrey's Concerts By The Bay, San Diego, CA, $4808152.00
61, 92986, Aretha Franklin Amphitheatre, Detroit, MI, $4497684.10
64, 89298, Alpine Valley Music Theatre, East Troy, WI, $4225295.90
52, 109972, Pavilion At Montage Mountain, Moosic, PA, $4036368.00
73, 73209, The Wharf Amphitheater, Orange Beach, AL, $4026981.60
62, 91975, Michigan Lottery Theater At Freedom Hill, Sterling Heights, MI, $4020497.00
70, 77586, Bethel Woods Center For The Arts , Bethel, NY, $3956004.50
78, 67148, Chateau Ste. Michelle Winery, Woodinville, WA, $3879428.60
86, 57832, Les Schwab Amphitheater, Bend, OR, $3799836.00
69, 80307, Glen Helen Amphitheater, San Bernardino, CA, $3659605.00
60, 93274, Festival Pier, Philadelphia, PA, $3655821.00
66, 85691, Sunlight Supply Amphitheater, Ridgefield, WA, $3615934.00
88, 53393, Brisbane Riverstage, Brisbane, AUSTRALIA, $3550541.20
81, 60728, Brandon Amphitheater, Brandon, MS, $3412570.20
68, 84168, Whitewater Amphitheater, New Braunfels, TX, $3194276.40
76, 68742, Tuscaloosa Amphitheater, Tuscaloosa, AL, $3189571.60
75, 71096, Toyota Amphitheatre, Wheatland, CA, $3096671.00
92, 43650, Ironstone Amphitheatre, Murphys, CA, $2889017.60
95, 42700, Santa Barbara Bowl, Santa Barbara, CA, $2809497.00
74, 72857, Meadow Brook Amphitheatre, Rochester, MI, $2757576.00
89, 46289, Vina Robles Amphitheatre, Paso Robles, CA, $2717845.90
85, 57854, Ford Amphitheater At Coney Island Boardwalk, Brooklyn, NY, $2668121.80
72, 74007, Farm Bureau Insurance Lawn At White River State Park, Indianapolis, IN, $2627597.60
71, 77401, Oak Mountain Amphitheatre, Pelham, AL, $2577832.30
83, 58535, KettleHouse Amphitheater, Bonner, MT, $2516570.00
82, 60673, Fraze Pavilion For The Perf. Arts, Kettering, OH, $2483633.50
79, 65527, Charlotte Metro Credit Union Amphitheatre, Charlotte, NC, $2451784.30
